dx,dy,energy,surprise,ok_bit
-0.100000,-0.100000,1.13016987,nan,1
-0.095000,-0.100000,1.13016653,nan,1
-0.090000,-0.100000,1.13016343,nan,1
-0.085000,-0.100000,1.13016129,nan,1
-0.080000,-0.100000,1.13015950,nan,1
-0.075000,-0.100000,1.13015854,nan,1
-0.070000,-0.100000,1.13015854,nan,1
-0.065000,-0.100000,1.13015866,nan,1
-0.060000,-0.100000,1.13015890,nan,1
-0.055000,-0.100000,1.13015962,nan,1
-0.050000,-0.100000,1.13016140,nan,1
-0.045000,-0.100000,1.13016343,nan,1
-0.040000,-0.100000,1.13016593,nan,1
-0.035000,-0.100000,1.13016820,nan,1
-0.030000,-0.100000,1.13017058,nan,1
-0.025000,-0.100000,1.13017333,nan,1
-0.020000,-0.100000,1.13017690,nan,1
-0.015000,-0.100000,1.13018084,nan,1
-0.010000,-0.100000,1.13018525,nan,1
-0.005000,-0.100000,1.13018990,nan,1
0.000000,-0.100000,1.13019562,nan,1
0.005000,-0.100000,1.13020146,nan,1
0.010000,-0.100000,1.13020790,nan,1
0.015000,-0.100000,1.13021433,nan,1
0.020000,-0.100000,1.13022161,nan,1
0.025000,-0.100000,1.13022864,nan,1
0.030000,-0.100000,1.13023615,nan,1
0.035000,-0.100000,1.13024342,nan,1
0.040000,-0.100000,1.13025105,nan,1
0.045000,-0.100000,1.13025939,nan,1
0.050000,-0.100000,1.13026774,nan,1
0.055000,-0.100000,1.13027632,nan,1
0.060000,-0.100000,1.13028538,nan,1
0.065000,-0.100000,1.13029528,nan,1
0.070000,-0.100000,1.13030565,nan,1
0.075000,-0.100000,1.13031662,nan,1
0.080000,-0.100000,1.13032818,nan,1
0.085000,-0.100000,1.13034046,nan,1
0.090000,-0.100000,1.13035285,nan,1
0.095000,-0.100000,1.13036549,nan,1
0.100000,-0.100000,1.13037884,nan,1
0.105000,-0.100000,1.13039243,nan,1
0.110000,-0.100000,1.13040590,nan,1
0.115000,-0.100000,1.13041961,nan,1
0.120000,-0.100000,1.13043392,nan,1
0.125000,-0.100000,1.13044870,nan,1
0.130000,-0.100000,1.13046348,nan,1
0.135000,-0.100000,1.13047838,nan,1
0.140000,-0.100000,1.13049376,nan,1
0.145000,-0.100000,1.13050926,nan,1
0.150000,-0.100000,1.13052499,nan,1
-0.150000,-0.095000,1.13022971,nan,1
-0.145000,-0.095000,1.13022220,nan,1
-0.140000,-0.095000,1.13021576,nan,1
-0.135000,-0.095000,1.13020933,nan,1
-0.130000,-0.095000,1.13020325,nan,1
-0.125000,-0.095000,1.13019741,nan,1
-0.120000,-0.095000,1.13019228,nan,1
-0.115000,-0.095000,1.13018715,nan,1
-0.110000,-0.095000,1.13018215,nan,1
-0.105000,-0.095000,1.13017738,nan,1
-0.100000,-0.095000,1.13017333,nan,1
-0.095000,-0.095000,1.13016987,nan,1
-0.090000,-0.095000,1.13016653,nan,1
-0.085000,-0.095000,1.13016343,nan,1
-0.080000,-0.095000,1.13016129,nan,1
-0.075000,-0.095000,1.13015950,nan,1
-0.070000,-0.095000,1.13015854,nan,1
-0.065000,-0.095000,1.13015854,nan,1
-0.060000,-0.095000,1.13015866,nan,1
-0.055000,-0.095000,1.13015890,nan,1
-0.050000,-0.095000,1.13015962,nan,1
-0.045000,-0.095000,1.13016140,nan,1
-0.040000,-0.095000,1.13016343,nan,1
-0.035000,-0.095000,1.13016593,nan,1
-0.030000,-0.095000,1.13016820,nan,1
-0.025000,-0.095000,1.13017058,nan,1
-0.020000,-0.095000,1.13017333,nan,1
-0.015000,-0.095000,1.13017690,nan,1
-0.010000,-0.095000,1.13018084,nan,1
-0.005000,-0.095000,1.13018525,nan,1
0.000000,-0.095000,1.13018990,nan,1
0.005000,-0.095000,1.13019562,nan,1
0.010000,-0.095000,1.13020146,nan,1
0.015000,-0.095000,1.13020790,nan,1
0.020000,-0.095000,1.13021433,nan,1
0.025000,-0.095000,1.13022161,nan,1
0.030000,-0.095000,1.13022864,nan,1
0.035000,-0.095000,1.13023615,nan,1
0.040000,-0.095000,1.13024342,nan,1
0.045000,-0.095000,1.13025105,nan,1
0.050000,-0.095000,1.13025939,nan,1
0.055000,-0.095000,1.13026774,nan,1
0.060000,-0.095000,1.13027632,nan,1
0.065000,-0.095000,1.13028538,nan,1
0.070000,-0.095000,1.13029528,nan,1
0.075000,-0.095000,1.13030565,nan,1
0.080000,-0.095000,1.13031662,nan,1
0.085000,-0.095000,1.13032818,nan,1
0.090000,-0.095000,1.13034046,nan,1
0.095000,-0.095000,1.13035285,nan,1
0.100000,-0.095000,1.13036549,nan,1
0.105000,-0.095000,1.13037884,nan,1
0.110000,-0.095000,1.13039243,nan,1
0.115000,-0.095000,1.13040590,nan,1
0.120000,-0.095000,1.13041961,nan,1
0.125000,-0.095000,1.13043392,nan,1
0.130000,-0.095000,1.13044870,nan,1
0.135000,-0.095000,1.13046348,nan,1
0.140000,-0.095000,1.13047838,nan,1
0.145000,-0.095000,1.13049376,nan,1
0.150000,-0.095000,1.13050926,nan,1
-0.150000,-0.090000,1.13023734,nan,1
-0.145000,-0.090000,1.13022971,nan,1
-0.140000,-0.090000,1.13022220,nan,1
-0.135000,-0.090000,1.13021576,nan,1
-0.130000,-0.090000,1.13020933,nan,1
-0.125000,-0.090000,1.13020325,nan,1
-0.120000,-0.090000,1.13019741,nan,1
-0.115000,-0.090000,1.13019228,nan,1
-0.110000,-0.090000,1.13018715,nan,1
-0.105000,-0.090000,1.13018215,nan,1
-0.100000,-0.090000,1.13017738,nan,1
-0.095000,-0.090000,1.13017333,nan,1
-0.090000,-0.090000,1.13016987,nan,1
-0.085000,-0.090000,1.13016653,nan,1
-0.080000,-0.090000,1.13016343,nan,1
-0.075000,-0.090000,1.13016129,nan,1
-0.070000,-0.090000,1.13015950,nan,1
-0.065000,-0.090000,1.13015854,nan,1
-0.060000,-0.090000,1.13015854,nan,1
-0.055000,-0.090000,1.13015866,nan,1
-0.050000,-0.090000,1.13015890,nan,1
-0.045000,-0.090000,1.13015962,nan,1
-0.040000,-0.090000,1.13016140,nan,1
-0.035000,-0.090000,1.13016343,nan,1
-0.030000,-0.090000,1.13016593,nan,1
-0.025000,-0.090000,1.13016820,nan,1
-0.020000,-0.090000,1.13017058,nan,1
-0.015000,-0.090000,1.13017333,nan,1
-0.010000,-0.090000,1.13017690,nan,1
-0.005000,-0.090000,1.13018084,nan,1
0.000000,-0.090000,1.13018525,nan,1
0.005000,-0.090000,1.13018990,nan,1
0.010000,-0.090000,1.13019562,nan,1
0.015000,-0.090000,1.13020146,nan,1
0.020000,-0.090000,1.13020790,nan,1
0.025000,-0.090000,1.13021433,nan,1
0.030000,-0.090000,1.13022161,nan,1
0.035000,-0.090000,1.13022864,nan,1
0.040000,-0.090000,1.13023615,nan,1
0.045000,-0.090000,1.13024342,nan,1
0.050000,-0.090000,1.13025105,nan,1
0.055000,-0.090000,1.13025939,nan,1
0.060000,-0.090000,1.13026774,nan,1
0.065000,-0.090000,1.13027632,nan,1
0.070000,-0.090000,1.13028538,nan,1
0.075000,-0.090000,1.13029528,nan,1
0.080000,-0.090000,1.13030565,nan,1
0.085000,-0.090000,1.13031662,nan,1
0.090000,-0.090000,1.13032818,nan,1
0.095000,-0.090000,1.13034046,nan,1
0.100000,-0.090000,1.13035285,nan,1
0.105000,-0.090000,1.13036549,nan,1
0.110000,-0.090000,1.13037884,nan,1
0.115000,-0.090000,1.13039243,nan,1
0.120000,-0.090000,1.13040590,nan,1
0.125000,-0.090000,1.13041961,nan,1
0.130000,-0.090000,1.13043392,nan,1
0.135000,-0.090000,1.13044870,nan,1
0.140000,-0.090000,1.13046348,nan,1
0.145000,-0.090000,1.13047838,nan,1
0.150000,-0.090000,1.13049376,nan,1
-0.150000,-0.085000,1.13024521,nan,1
-0.145000,-0.085000,1.13023734,nan,1
-0.140000,-0.085000,1.13022971,nan,1
-0.135000,-0.085000,1.13022220,nan,1
-0.130000,-0.085000,1.13021576,nan,1
-0.125000,-0.085000,1.13020933,nan,1
-0.120000,-0.085000,1.13020325,nan,1
-0.115000,-0.085000,1.13019741,nan,1
-0.110000,-0.085000,1.13019228,nan,1
-0.105000,-0.085000,1.13018715,nan,1
-0.100000,-0.085000,1.13018215,nan,1
-0.095000,-0.085000,1.13017738,nan,1
-0.090000,-0.085000,1.13017333,nan,1
-0.085000,-0.085000,1.13016987,nan,1
-0.080000,-0.085000,1.13016653,nan,1
-0.075000,-0.085000,1.13016343,nan,1
-0.070000,-0.085000,1.13016129,nan,1
-0.065000,-0.085000,1.13015950,nan,1
-0.060000,-0.085000,1.13015854,nan,1
-0.055000,-0.085000,1.13015854,nan,1
-0.050000,-0.085000,1.13015866,nan,1
-0.045000,-0.085000,1.13015890,nan,1
-0.040000,-0.085000,1.13015962,nan,1
-0.035000,-0.085000,1.13016140,nan,1
-0.030000,-0.085000,1.13016343,nan,1
-0.025000,-0.085000,1.13016593,nan,1
-0.020000,-0.085000,1.13016820,nan,1
-0.015000,-0.085000,1.13017058,nan,1
-0.010000,-0.085000,1.13017333,nan,1
-0.005000,-0.085000,1.13017690,nan,1
0.000000,-0.085000,1.13018084,nan,1
0.005000,-0.085000,1.13018525,nan,1
0.010000,-0.085000,1.13018990,nan,1
0.015000,-0.085000,1.13019562,nan,1
0.020000,-0.085000,1.13020146,nan,1
0.025000,-0.085000,1.13020790,nan,1
0.030000,-0.085000,1.13021433,nan,1
0.035000,-0.085000,1.13022161,nan,1
0.040000,-0.085000,1.13022864,nan,1
0.045000,-0.085000,1.13023615,nan,1
0.050000,-0.085000,1.13024342,nan,1
0.055000,-0.085000,1.13025105,nan,1
0.060000,-0.085000,1.13025939,nan,1
0.065000,-0.085000,1.13026774,nan,1
0.070000,-0.085000,1.13027632,nan,1
0.075000,-0.085000,1.13028538,nan,1
0.080000,-0.085000,1.13029528,nan,1
0.085000,-0.085000,1.13030565,nan,1
0.090000,-0.085000,1.13031662,nan,1
0.095000,-0.085000,1.13032818,nan,1
0.100000,-0.085000,1.13034046,nan,1
0.105000,-0.085000,1.13035285,nan,1
0.110000,-0.085000,1.13036549,nan,1
0.115000,-0.085000,1.13037884,nan,1
0.120000,-0.085000,1.13039243,nan,1
0.125000,-0.085000,1.13040590,nan,1
0.130000,-0.085000,1.13041961,nan,1
0.135000,-0.085000,1.13043392,nan,1
0.140000,-0.085000,1.13044870,nan,1
0.145000,-0.085000,1.13046348,nan,1
0.150000,-0.085000,1.13047838,nan,1
-0.150000,-0.080000,1.13025296,nan,1
-0.145000,-0.080000,1.13024521,nan,1
-0.140000,-0.080000,1.13023734,nan,1
-0.135000,-0.080000,1.13022971,nan,1
-0.130000,-0.080000,1.13022220,nan,1
-0.125000,-0.080000,1.13021576,nan,1
-0.120000,-0.080000,1.13020933,nan,1
-0.115000,-0.080000,1.13020325,nan,1
-0.110000,-0.080000,1.13019741,nan,1
-0.105000,-0.080000,1.13019228,nan,1
-0.100000,-0.080000,1.13018715,nan,1
-0.095000,-0.080000,1.13018215,nan,1
-0.090000,-0.080000,1.13017738,nan,1
-0.085000,-0.080000,1.13017333,nan,1
-0.080000,-0.080000,1.13016987,nan,1
-0.075000,-0.080000,1.13016653,nan,1
-0.070000,-0.080000,1.13016343,nan,1
-0.065000,-0.080000,1.13016129,nan,1
-0.060000,-0.080000,1.13015950,nan,1
-0.055000,-0.080000,1.13015854,nan,1
-0.050000,-0.080000,1.13015854,nan,1
-0.045000,-0.080000,1.13015866,nan,1
-0.040000,-0.080000,1.13015890,nan,1
-0.035000,-0.080000,1.13015962,nan,1
-0.030000,-0.080000,1.13016140,nan,1
-0.025000,-0.080000,1.13016343,nan,1
-0.020000,-0.080000,1.13016593,nan,1
-0.015000,-0.080000,1.13016820,nan,1
-0.010000,-0.080000,1.13017058,nan,1
-0.005000,-0.080000,1.13017333,nan,1
0.000000,-0.080000,1.13017690,nan,1
0.005000,-0.080000,1.13018084,nan,1
0.010000,-0.080000,1.13018525,nan,1
0.015000,-0.080000,1.13018990,nan,1
0.020000,-0.080000,1.13019562,nan,1
0.025000,-0.080000,1.13020146,nan,1
0.030000,-0.080000,1.13020790,nan,1
0.035000,-0.080000,1.13021433,nan,1
0.040000,-0.080000,1.13022161,nan,1
0.045000,-0.080000,1.13022864,nan,1
0.050000,-0.080000,1.13023615,nan,1
0.055000,-0.080000,1.13024342,nan,1
0.060000,-0.080000,1.13025105,nan,1
0.065000,-0.080000,1.13025939,nan,1
0.070000,-0.080000,1.13026774,nan,1
0.075000,-0.080000,1.13027632,nan,1
0.080000,-0.080000,1.13028538,nan,1
0.085000,-0.080000,1.13029528,nan,1
0.090000,-0.080000,1.13030565,nan,1
0.095000,-0.080000,1.13031662,nan,1
0.100000,-0.080000,1.13032818,nan,1
0.105000,-0.080000,1.13034046,nan,1
0.110000,-0.080000,1.13035285,nan,1
0.115000,-0.080000,1.13036549,nan,1
0.120000,-0.080000,1.13037884,nan,1
0.125000,-0.080000,1.13039243,nan,1
0.130000,-0.080000,1.13040590,nan,1
0.135000,-0.080000,1.13041961,nan,1
0.140000,-0.080000,1.13043392,nan,1
0.145000,-0.080000,1.13044870,nan,1
0.150000,-0.080000,1.13046348,nan,1
-0.150000,-0.075000,1.13026154,nan,1
-0.145000,-0.075000,1.13025296,nan,1
-0.140000,-0.075000,1.13024521,nan,1
-0.135000,-0.075000,1.13023734,nan,1
-0.130000,-0.075000,1.13022971,nan,1
-0.125000,-0.075000,1.13022220,nan,1
-0.120000,-0.075000,1.13021576,nan,1
-0.115000,-0.075000,1.13020933,nan,1
-0.110000,-0.075000,1.13020325,nan,1
-0.105000,-0.075000,1.13019741,nan,1
-0.100000,-0.075000,1.13019228,nan,1
-0.095000,-0.075000,1.13018715,nan,1
-0.090000,-0.075000,1.13018215,nan,1
-0.085000,-0.075000,1.13017738,nan,1
-0.080000,-0.075000,1.13017333,nan,1
-0.075000,-0.075000,1.13016987,nan,1
-0.070000,-0.075000,1.13016653,nan,1
-0.065000,-0.075000,1.13016343,nan,1
-0.060000,-0.075000,1.13016129,nan,1
-0.055000,-0.075000,1.13015950,nan,1
-0.050000,-0.075000,1.13015854,nan,1
-0.045000,-0.075000,1.13015854,nan,1
-0.040000,-0.075000,1.13015866,nan,1
-0.035000,-0.075000,1.13015890,nan,1
-0.030000,-0.075000,1.13015962,nan,1
-0.025000,-0.075000,1.13016140,nan,1
-0.020000,-0.075000,1.13016343,nan,1
-0.015000,-0.075000,1.13016593,nan,1
-0.010000,-0.075000,1.13016820,nan,1
-0.005000,-0.075000,1.13017058,nan,1
0.000000,-0.075000,1.13017333,nan,1
0.005000,-0.075000,1.13017690,nan,1
0.010000,-0.075000,1.13018084,nan,1
0.015000,-0.075000,1.13018525,nan,1
0.020000,-0.075000,1.13018990,nan,1
0.025000,-0.075000,1.13019562,nan,1
0.030000,-0.075000,1.13020146,nan,1
0.035000,-0.075000,1.13020790,nan,1
0.040000,-0.075000,1.13021433,nan,1
0.045000,-0.075000,1.13022161,nan,1
0.050000,-0.075000,1.13022864,nan,1
0.055000,-0.075000,1.13023615,nan,1
0.060000,-0.075000,1.13024342,nan,1
0.065000,-0.075000,1.13025105,nan,1
0.070000,-0.075000,1.13025939,nan,1
0.075000,-0.075000,1.13026774,nan,1
0.080000,-0.075000,1.13027632,nan,1
0.085000,-0.075000,1.13028538,nan,1
0.090000,-0.075000,1.13029528,nan,1
0.095000,-0.075000,1.13030565,nan,1
0.100000,-0.075000,1.13031662,nan,1
0.105000,-0.075000,1.13032818,nan,1
0.110000,-0.075000,1.13034046,nan,1
0.115000,-0.075000,1.13035285,nan,1
0.120000,-0.075000,1.13036549,nan,1
0.125000,-0.075000,1.13037884,nan,1
0.130000,-0.075000,1.13039243,nan,1
0.135000,-0.075000,1.13040590,nan,1
0.140000,-0.075000,1.13041961,nan,1
0.145000,-0.075000,1.13043392,nan,1
0.150000,-0.075000,1.13044870,nan,1
-0.150000,-0.070000,1.13027012,nan,1
-0.145000,-0.070000,1.13026154,nan,1
-0.140000,-0.070000,1.13025296,nan,1
-0.135000,-0.070000,1.13024521,nan,1
-0.130000,-0.070000,1.13023734,nan,1
-0.125000,-0.070000,1.13022971,nan,1
-0.120000,-0.070000,1.13022220,nan,1
-0.115000,-0.070000,1.13021576,nan,1
-0.110000,-0.070000,1.13020933,nan,1
-0.105000,-0.070000,1.13020325,nan,1
-0.100000,-0.070000,1.13019741,nan,1
-0.095000,-0.070000,1.13019228,nan,1
-0.090000,-0.070000,1.13018715,nan,1
-0.085000,-0.070000,1.13018215,nan,1
-0.080000,-0.070000,1.13017738,nan,1
-0.075000,-0.070000,1.13017333,nan,1
-0.070000,-0.070000,1.13016987,nan,1
-0.065000,-0.070000,1.13016653,nan,1
-0.060000,-0.070000,1.13016343,nan,1
-0.055000,-0.070000,1.13016129,nan,1
-0.050000,-0.070000,1.13015950,nan,1
-0.045000,-0.070000,1.13015854,nan,1
-0.040000,-0.070000,1.13015854,nan,1
-0.035000,-0.070000,1.13015866,nan,1
-0.030000,-0.070000,1.13015890,nan,1
-0.025000,-0.070000,1.13015962,nan,1
-0.020000,-0.070000,1.13016140,nan,1
-0.015000,-0.070000,1.13016343,nan,1
-0.010000,-0.070000,1.13016593,nan,1
-0.005000,-0.070000,1.13016820,nan,1
0.000000,-0.070000,1.13017058,nan,1
0.005000,-0.070000,1.13017333,nan,1
0.010000,-0.070000,1.13017690,nan,1
0.015000,-0.070000,1.13018084,nan,1
0.020000,-0.070000,1.13018525,nan,1
0.025000,-0.070000,1.13018990,nan,1
0.030000,-0.070000,1.13019562,nan,1
0.035000,-0.070000,1.13020146,nan,1
0.040000,-0.070000,1.13020790,nan,1
0.045000,-0.070000,1.13021433,nan,1
0.050000,-0.070000,1.13022161,nan,1
0.055000,-0.070000,1.13022864,nan,1
0.060000,-0.070000,1.13023615,nan,1
0.065000,-0.070000,1.13024342,nan,1
0.070000,-0.070000,1.13025105,nan,1
0.075000,-0.070000,1.13025939,nan,1
0.080000,-0.070000,1.13026774,nan,1
0.085000,-0.070000,1.13027632,nan,1
0.090000,-0.070000,1.13028538,nan,1
0.095000,-0.070000,1.13029528,nan,1
0.100000,-0.070000,1.13030565,nan,1
0.105000,-0.070000,1.13031662,nan,1
0.110000,-0.070000,1.13032818,nan,1
0.115000,-0.070000,1.13034046,nan,1
0.120000,-0.070000,1.13035285,nan,1
0.125000,-0.070000,1.13036549,nan,1
0.130000,-0.070000,1.13037884,nan,1
0.135000,-0.070000,1.13039243,nan,1
0.140000,-0.070000,1.13040590,nan,1
0.145000,-0.070000,1.13041961,nan,1
0.150000,-0.070000,1.13043392,nan,1
-0.150000,-0.065000,1.13027883,nan,1
-0.145000,-0.065000,1.13027012,nan,1
-0.140000,-0.065000,1.13026154,nan,1
-0.135000,-0.065000,1.13025296,nan,1
-0.130000,-0.065000,1.13024521,nan,1
-0.125000,-0.065000,1.13023734,nan,1
-0.120000,-0.065000,1.13022971,nan,1
-0.115000,-0.065000,1.13022220,nan,1
-0.110000,-0.065000,1.13021576,nan,1
-0.105000,-0.065000,1.13020933,nan,1
-0.100000,-0.065000,1.13020325,nan,1
-0.095000,-0.065000,1.13019741,nan,1
-0.090000,-0.065000,1.13019228,nan,1
-0.085000,-0.065000,1.13018715,nan,1
-0.080000,-0.065000,1.13018215,nan,1
-0.075000,-0.065000,1.13017738,nan,1
-0.070000,-0.065000,1.13017333,nan,1
-0.065000,-0.065000,1.13016987,nan,1
-0.060000,-0.065000,1.13016653,nan,1
-0.055000,-0.065000,1.13016343,nan,1
-0.050000,-0.065000,1.13016129,nan,1
-0.045000,-0.065000,1.13015950,nan,1
-0.040000,-0.065000,1.13015854,nan,1
-0.035000,-0.065000,1.13015854,nan,1
-0.030000,-0.065000,1.13015866,nan,1
-0.025000,-0.065000,1.13015890,nan,1
-0.020000,-0.065000,1.13015962,nan,1
-0.015000,-0.065000,1.13016140,nan,1
-0.010000,-0.065000,1.13016343,nan,1
-0.005000,-0.065000,1.13016593,nan,1
0.000000,-0.065000,1.13016820,nan,1
0.005000,-0.065000,1.13017058,nan,1
0.010000,-0.065000,1.13017333,nan,1
0.015000,-0.065000,1.13017690,nan,1
0.020000,-0.065000,1.13018084,nan,1
0.025000,-0.065000,1.13018525,nan,1
0.030000,-0.065000,1.13018990,nan,1
0.035000,-0.065000,1.13019562,nan,1
0.040000,-0.065000,1.13020146,nan,1
0.045000,-0.065000,1.13020790,nan,1
0.050000,-0.065000,1.13021433,nan,1
0.055000,-0.065000,1.13022161,nan,1
0.060000,-0.065000,1.13022864,nan,1
0.065000,-0.065000,1.13023615,nan,1
0.070000,-0.065000,1.13024342,nan,1
0.075000,-0.065000,1.13025105,nan,1
0.080000,-0.065000,1.13025939,nan,1
0.085000,-0.065000,1.13026774,nan,1
0.090000,-0.065000,1.13027632,nan,1
0.095000,-0.065000,1.13028538,nan,1
0.100000,-0.065000,1.13029528,nan,1
0.105000,-0.065000,1.13030565,nan,1
0.110000,-0.065000,1.13031662,nan,1
0.115000,-0.065000,1.13032818,nan,1
0.120000,-0.065000,1.13034046,nan,1
0.125000,-0.065000,1.13035285,nan,1
0.130000,-0.065000,1.13036549,nan,1
0.135000,-0.065000,1.13037884,nan,1
0.140000,-0.065000,1.13039243,nan,1
0.145000,-0.065000,1.13040590,nan,1
0.150000,-0.065000,1.13041961,nan,1
-0.150000,-0.060000,1.13028812,nan,1
-0.145000,-0.060000,1.13027883,nan,1
-0.140000,-0.060000,1.13027012,nan,1
-0.135000,-0.060000,1.13026154,nan,1
-0.130000,-0.060000,1.13025296,nan,1
-0.125000,-0.060000,1.13024521,nan,1
-0.120000,-0.060000,1.13023734,nan,1
-0.115000,-0.060000,1.13022971,nan,1
-0.110000,-0.060000,1.13022220,nan,1
-0.105000,-0.060000,1.13021576,nan,1
-0.100000,-0.060000,1.13020933,nan,1
-0.095000,-0.060000,1.13020325,nan,1
-0.090000,-0.060000,1.13019741,nan,1
-0.085000,-0.060000,1.13019228,nan,1
-0.080000,-0.060000,1.13018715,nan,1
-0.075000,-0.060000,1.13018215,nan,1
-0.070000,-0.060000,1.13017738,nan,1
-0.065000,-0.060000,1.13017333,nan,1
-0.060000,-0.060000,1.13016987,nan,1
-0.055000,-0.060000,1.13016653,nan,1
-0.050000,-0.060000,1.13016343,nan,1
-0.045000,-0.060000,1.13016129,nan,1
-0.040000,-0.060000,1.13015950,nan,1
-0.035000,-0.060000,1.13015854,nan,1
-0.030000,-0.060000,1.13015854,nan,1
-0.025000,-0.060000,1.13015866,nan,1
-0.020000,-0.060000,1.13015890,nan,1
-0.015000,-0.060000,1.13015962,nan,1
-0.010000,-0.060000,1.13016140,nan,1
-0.005000,-0.060000,1.13016343,nan,1
0.000000,-0.060000,1.13016593,nan,1
0.005000,-0.060000,1.13016820,nan,1
0.010000,-0.060000,1.13017058,nan,1
0.015000,-0.060000,1.13017333,nan,1
0.020000,-0.060000,1.13017690,nan,1
0.025000,-0.060000,1.13018084,nan,1
0.030000,-0.060000,1.13018525,nan,1
0.035000,-0.060000,1.13018990,nan,1
0.040000,-0.060000,1.13019562,nan,1
0.045000,-0.060000,1.13020146,nan,1
0.050000,-0.060000,1.13020790,nan,1
0.055000,-0.060000,1.13021433,nan,1
0.060000,-0.060000,1.13022161,nan,1
0.065000,-0.060000,1.13022864,nan,1
0.070000,-0.060000,1.13023615,nan,1
0.075000,-0.060000,1.13024342,nan,1
0.080000,-0.060000,1.13025105,nan,1
0.085000,-0.060000,1.13025939,nan,1
0.090000,-0.060000,1.13026774,nan,1
0.095000,-0.060000,1.13027632,nan,1
0.100000,-0.060000,1.13028538,nan,1
0.105000,-0.060000,1.13029528,nan,1
0.110000,-0.060000,1.13030565,nan,1
0.115000,-0.060000,1.13031662,nan,1
0.120000,-0.060000,1.13032818,nan,1
0.125000,-0.060000,1.13034046,nan,1
0.130000,-0.060000,1.13035285,nan,1
0.135000,-0.060000,1.13036549,nan,1
0.140000,-0.060000,1.13037884,nan,1
0.145000,-0.060000,1.13039243,nan,1
0.150000,-0.060000,1.13040590,nan,1
-0.150000,-0.055000,1.13029766,nan,1
-0.145000,-0.055000,1.13028812,nan,1
-0.140000,-0.055000,1.13027883,nan,1
-0.135000,-0.055000,1.13027012,nan,1
-0.130000,-0.055000,1.13026154,nan,1
-0.125000,-0.055000,1.13025296,nan,1
-0.120000,-0.055000,1.13024521,nan,1
-0.115000,-0.055000,1.13023734,nan,1
-0.110000,-0.055000,1.13022971,nan,1
-0.105000,-0.055000,1.13022220,nan,1
-0.100000,-0.055000,1.13021576,nan,1
-0.095000,-0.055000,1.13020933,nan,1
-0.090000,-0.055000,1.13020325,nan,1
-0.085000,-0.055000,1.13019741,nan,1
-0.080000,-0.055000,1.13019228,nan,1
-0.075000,-0.055000,1.13018715,nan,1
-0.070000,-0.055000,1.13018215,nan,1
-0.065000,-0.055000,1.13017738,nan,1
-0.060000,-0.055000,1.13017333,nan,1
-0.055000,-0.055000,1.13016987,nan,1
-0.050000,-0.055000,1.13016653,nan,1
-0.045000,-0.055000,1.13016343,nan,1
-0.040000,-0.055000,1.13016129,nan,1
-0.035000,-0.055000,1.13015950,nan,1
-0.030000,-0.055000,1.13015854,nan,1
-0.025000,-0.055000,1.13015854,nan,1
-0.020000,-0.055000,1.13015866,nan,1
-0.015000,-0.055000,1.13015890,nan,1
-0.010000,-0.055000,1.13015962,nan,1
-0.005000,-0.055000,1.13016140,nan,1
0.000000,-0.055000,1.13016343,nan,1
0.005000,-0.055000,1.13016593,nan,1
0.010000,-0.055000,1.13016820,nan,1
0.015000,-0.055000,1.13017058,nan,1
0.020000,-0.055000,1.13017333,nan,1
0.025000,-0.055000,1.13017690,nan,1
0.030000,-0.055000,1.13018084,nan,1
0.035000,-0.055000,1.13018525,nan,1
0.040000,-0.055000,1.13018990,nan,1
0.045000,-0.055000,1.13019562,nan,1
0.050000,-0.055000,1.13020146,nan,1
0.055000,-0.055000,1.13020790,nan,1
0.060000,-0.055000,1.13021433,nan,1
0.065000,-0.055000,1.13022161,nan,1
0.070000,-0.055000,1.13022864,nan,1
0.075000,-0.055000,1.13023615,nan,1
0.080000,-0.055000,1.13024342,nan,1
0.085000,-0.055000,1.13025105,nan,1
0.090000,-0.055000,1.13025939,nan,1
0.095000,-0.055000,1.13026774,nan,1
0.100000,-0.055000,1.13027632,nan,1
0.105000,-0.055000,1.13028538,nan,1
0.110000,-0.055000,1.13029528,nan,1
0.115000,-0.055000,1.13030565,nan,1
0.120000,-0.055000,1.13031662,nan,1
0.125000,-0.055000,1.13032818,nan,1
0.130000,-0.055000,1.13034046,nan,1
0.135000,-0.055000,1.13035285,nan,1
0.140000,-0.055000,1.13036549,nan,1
0.145000,-0.055000,1.13037884,nan,1
0.150000,-0.055000,1.13039243,nan,1
-0.150000,-0.050000,1.13030732,nan,1
-0.145000,-0.050000,1.13029766,nan,1
-0.140000,-0.050000,1.13028812,nan,1
-0.135000,-0.050000,1.13027883,nan,1
-0.130000,-0.050000,1.13027012,nan,1
-0.125000,-0.050000,1.13026154,nan,1
-0.120000,-0.050000,1.13025296,nan,1
-0.115000,-0.050000,1.13024521,nan,1
-0.110000,-0.050000,1.13023734,nan,1
-0.105000,-0.050000,1.13022971,nan,1
-0.100000,-0.050000,1.13022220,nan,1
-0.095000,-0.050000,1.13021576,nan,1
-0.090000,-0.050000,1.13020933,nan,1
-0.085000,-0.050000,1.13020325,nan,1
-0.080000,-0.050000,1.13019741,nan,1
-0.075000,-0.050000,1.13019228,nan,1
-0.070000,-0.050000,1.13018715,nan,1
-0.065000,-0.050000,1.13018215,nan,1
-0.060000,-0.050000,1.13017738,nan,1
-0.055000,-0.050000,1.13017333,nan,1
-0.050000,-0.050000,1.13016987,nan,1
